pl	lx	note
Ja pić trzęsienie ziemi.	ao ju zheno-nuan.	synthetic
Ja wiedzieć płatek.	ao ga tu-pi.	synthetic
Ja mówić uniwersytet.	ao bi xiong-ning.	synthetic
Jeśli my jeść władca, monarcha, my pić woda.	jiao lano ji zhun-cui, lano ju zhe.	synthetic
Ja negacja (nie) wiedzieć babcia od matki.	ao daoo ga ei-ma.	synthetic
Ja negacja (nie) wiedzieć jedzenie.	ao daoo ga shio-deng.	synthetic
Ty partykuła posiadania/określenia czekać.	nio zhai wa.	synthetic
Ja słuchać czarna herbata	ao fu gango-min mo	synthetic
Ty jeść płytki.	nio ji sheng-zu.	synthetic
On/ona jeść krew	cou ji cong mo	synthetic
On/ona wiedzieć częściowo pochmurnie	cou ga tiano-gou mo	synthetic
Jeśli ty jeść tysiąc, ty pić woda.	jiao nio ji tang-nin, nio ju zhe.	synthetic
Ja negacja (nie) jeść produkty mleczne.	ao daoo ji xue-xian.	synthetic
Jeśli ja jeść ząb, ja pić woda.	jiao ao ji chun, ao ju zhe.	synthetic
Ja wiedzieć kwiat granatu	ao ga xie-long mo	synthetic
Jeśli ja jeść aromatyczny, ja pić woda.	jiao ao ji dui-za, ao ju zhe.	synthetic
Ty jeść makrel	nio ji ran-tie mo	synthetic
Ty negacja (nie) pić płaski.	nio daoo ju cheng-gang.	synthetic
Jeśli my jeść sztuka walki mieczem, my pić woda.	jiao lano ji xin-heng, lano ju zhe.	synthetic
On/ona negacja (nie) jeść pięćdziesiąt.	cou daoo ji gui-nin.	synthetic
On/ona wiedzieć pierś (żeńska).	cou ga ri-xu.	synthetic
Ty negacja (nie) pić morwa.	nio daoo ju hua-nuan.	synthetic
Jeśli my jeść wiśnia, my pić woda.	jiao lano ji guoo-long, lano ju zhe.	synthetic
Ty negacja (nie) pić suknia ślubna.	nio daoo ju bie-pang.	synthetic
Ja jeść lewa strona	ao ji kuo-shuai mo	synthetic
Ty negacja (nie) pić starożytne Królestwo.	nio daoo ju zan-wa.	synthetic
My partykuła posiadania/określenia drewno sosnowe.	lano zhai die-shen.	synthetic
On/ona wiedzieć rozpatrywać.	cou ga ye-fen.	synthetic
Ja jeść twardy	ao ji jino mo	synthetic
Jeśli ty jeść przedmiot, ty pić woda.	jiao nio ji qing-nu, nio ju zhe.	synthetic
My mówić wewnętrzny-zewnętrzny.	lano bi bian-pian.	synthetic
On/ona negacja (nie) słuchać niemożliwy do....	cou daoo fu qiong-chui.	synthetic
Ty jeść ryż	nio ji fano mo	synthetic
My wiedzieć ostrzegać.	lano ga tong-mai.	synthetic
On/ona negacja (nie) słuchać papryka chili.	cou daoo fu caio-zhong.	synthetic
Ty partykuła posiadania/określenia chodzić, iść pieszo.	nio zhai di-cu.	synthetic
My jeść rozmiar	lano ji ce-dian mo	synthetic
Ty pić ukończyć.	nio ju lei-zhuai.	synthetic
On/ona partykuła posiadania/określenia piętro, warstwa.	cou zhai cuo-pang.	synthetic
On/ona mówić ogień wątroby.	cou bi kuan-ni.	synthetic
Ty słuchać bezpieczeństwo	nio fu diao-eng mo	synthetic
Ja negacja (nie) słuchać wschód słońca.	ao daoo fu keng-la.	synthetic
Ty negacja (nie) wiedzieć pisać.	nio daoo ga muo.	synthetic
Jeśli ja jeść oddzielać, ja pić woda.	jiao ao ji tu-zan, ao ju zhe.	synthetic
Ty słuchać delfin	nio fu haio-qiu mo	synthetic
On/ona wiedzieć władca, monarcha	cou ga zhun-cui mo	synthetic
My wiedzieć rozbierać się	lano ga san-zei mo	synthetic
My negacja (nie) słuchać grad.	lano daoo fu nin-lin.	synthetic
Ja słuchać żółty ziemisty	ao fu nou-gang mo	synthetic
Jeśli ja jeść wschód, ja pić woda.	jiao ao ji fang-dong, ao ju zhe.	synthetic
My słuchać Cesarzowa wdowa.	lano fu tie-dei.	synthetic
On/ona partykuła posiadania/określenia kroić.	cou zhai qiao-pao.	synthetic
Ja negacja (nie) pić zniszczyć całkowicie.	ao daoo ju wai-bo.	synthetic
Jeśli ja jeść płytki, ja pić woda.	jiao ao ji sheng-zu, ao ju zhe.	synthetic
My jeść jajko stulecia	lano ji guai-can mo	synthetic
Ty partykuła posiadania/określenia obracać się.	nio zhai ha-ga.	synthetic
Jeśli ty jeść pismo urzędowe, ty pić woda.	jiao nio ji muo-niu, nio ju zhe.	synthetic
Ja partykuła posiadania/określenia ogień.	ao zhai zha.	synthetic
My mówić telewizja	lano bi hang-gun mo	synthetic
Jeśli my jeść klęczeć, my pić woda.	jiao lano ji gun-wan, lano ju zhe.	synthetic
My słuchać świnia.	lano fu tuno-zhun.	synthetic
Ja mówić wewnętrzny-zewnętrzny.	ao bi bian-pian.	synthetic
My partykuła posiadania/określenia jaskółka.	lano zhai yeno-cou.	synthetic
Jeśli ty jeść znaczenie, sens, ty pić woda.	jiao nio ji kun-hong, nio ju zhe.	synthetic
On/ona mówić świnia	cou bi tuno-zhun mo	synthetic
Ty negacja (nie) słuchać milion.	nio daoo fu bai-wan.	synthetic
Ja negacja (nie) słuchać złota rybka.	ao daoo fu dongo-che.	synthetic
Ja mówić wypłynąć	ao bi ye-dong mo	synthetic
Jeśli my jeść róża chińska, my pić woda.	jiao lano ji gang-gong, lano ju zhe.	synthetic
On/ona mówić wół.	cou bi bing-wo.	synthetic
Ty partykuła posiadania/określenia wieszać, zawieszać.	nio zhai hun-long.	synthetic
On/ona słuchać plac.	cou fu nang-xuan.	synthetic
Ty jeść kino	nio ji xiang-ba mo	synthetic
Ja słuchać dzień	ao fu jian mo	synthetic
Ty pić mały upał	nio ju ding-zei mo	synthetic
On/ona negacja (nie) mówić bezpieczeństwo.	cou daoo bi diao-eng.	synthetic
On/ona mówić technika.	cou bi bang-zang.	synthetic
Ja negacja (nie) słuchać brama (budowla).	ao daoo fu rong-ji.	synthetic
Jeśli ty jeść bogactwo, ty pić woda.	jiao nio ji rong-cang, nio ju zhe.	synthetic
Ja pić powóz konny	ao ju xu-chou mo	synthetic
Ja jeść władca, monarcha.	ao ji zhun-cui.	synthetic
Jeśli ty jeść wszystko, ty pić woda.	jiao nio ji wano, nio ju zhe.	synthetic
Jeśli ja jeść wybrzeże, ja pić woda.	jiao ao ji haio-qin, ao ju zhe.	synthetic
Ty jeść szelest.	nio ji zhen-ba.	synthetic
Ja negacja (nie) mówić słowo.	ao daoo bi jian-ye.	synthetic
Ja pić bawełna (tkanina)	ao ju zhe-qin mo	synthetic
My partykuła posiadania/określenia wiśnia.	lano zhai guoo-long.	synthetic
Ja mówić kwadratowy kształt.	ao bi zhe-tui.	synthetic
On/ona negacja (nie) słuchać wschód słońca.	cou daoo fu keng-la.	synthetic
Ty negacja (nie) pić oślepić wzrok.	nio daoo ju pie-qin.	synthetic
My mówić ogień wątroby.	lano bi kuan-ni.	synthetic
Jeśli ty jeść chleb, ty pić woda.	jiao nio ji miano, nio ju zhe.	synthetic
My partykuła posiadania/określenia wstawać.	lano zhai hang-nuo.	synthetic
My wiedzieć znaczenie, sens	lano ga kun-hong mo	synthetic
Jeśli on/ona jeść płatek, on/ona pić woda.	jiao cou ji tu-pi, cou ju zhe.	synthetic
My słuchać powrócić.	lano fu shuai-nu.	synthetic
Jeśli ja jeść iść, ja pić woda.	jiao ao ji ce, ao ju zhe.	synthetic
My jeść częściowo pochmurnie.	lano ji tiano-gou.	synthetic
Ty mówić patrzeć	nio bi fa mo	synthetic
Ty słuchać szczęście	nio fu huano mo	synthetic
On/ona negacja (nie) wiedzieć ubierać się.	cou daoo ga jie-fo.	synthetic
Ja pić owocowy zapach	ao ju duano-meng mo	synthetic
Jeśli ty jeść wieszać, zawieszać, ty pić woda.	jiao nio ji hun-long, nio ju zhe.	synthetic
Ja partykuła posiadania/określenia syndrom gorąca.	ao zhai qio-mian.	synthetic
On/ona partykuła posiadania/określenia sosna.	cou zhai songo-jiu.	synthetic
On/ona partykuła posiadania/określenia walczyć.	cou zhai nu.	synthetic
Ja negacja (nie) pić ulica.	ao daoo ju ke-chi.	synthetic
Jeśli ja jeść pocieszenie, ukojenie, ja pić woda.	jiao ao ji yin-gai, ao ju zhe.	synthetic
Jeśli on/ona jeść pokolenie (starsze/młodsze), on/ona pić woda.	jiao cou ji jue-keng, cou ju zhe.	synthetic
My mówić śmiać się	lano bi tao-pin mo	synthetic
On/ona pić smarować (farbą).	cou ju qie-wa.	synthetic
Ja partykuła posiadania/określenia tajfun.	ao zhai fengo-chou.	synthetic
Jeśli my jeść odepchnąć, my pić woda.	jiao lano ji fan-keng, lano ju zhe.	synthetic
On/ona jeść czarny wojownik (kierunek północ), żółw i wąż	cou ji sheo-da mo	synthetic
Ty negacja (nie) słuchać nie ma za co.	nio daoo fu a-er-ma.	synthetic
Jeśli ja jeść tratwa, ja pić woda.	jiao ao ji ke-yun, ao ju zhe.	synthetic
On/ona negacja (nie) wiedzieć uśmiechać się.	cou daoo ga tao-bin.	synthetic
On/ona słuchać czysty.	cou fu cha-hui.	synthetic
Jeśli ty jeść szeroki, ty pić woda.	jiao nio ji bei-hui, nio ju zhe.	synthetic
On/ona negacja (nie) jeść połykać.	cou daoo ji peng-tan.	synthetic
Jeśli ja jeść liryka (forma poetycka), ja pić woda.	jiao ao ji ya-ju, ao ju zhe.	synthetic
On/ona negacja (nie) słuchać czcigodny (dla władców/bóstw).	cou daoo fu si-mu.	synthetic
My mówić uczucie (dotyk).	lano bi huo-pie.	synthetic
Ja partykuła posiadania/określenia szelest.	ao zhai zhen-ba.	synthetic
Ty partykuła posiadania/określenia czysty.	nio zhai cha-hui.	synthetic
My wiedzieć obudzić się	lano ga ke mo	synthetic
My partykuła posiadania/określenia dzień.	lano zhai jian.	synthetic
Ty pić zniszczyć całkowicie.	nio ju wai-bo.	synthetic
Jeśli my jeść mistrz (ogólne, szanujące), my pić woda.	jiao lano ji cheng-chen, lano ju zhe.	synthetic
On/ona partykuła posiadania/określenia trujący grzyb.	cou zhai nei-sui.	synthetic
Ty mówić jaskółka.	nio bi yeno-cou.	synthetic
Ty negacja (nie) jeść śmieć.	nio daoo ji zeng-reng.	synthetic
Jeśli ja jeść pokorny sługa (o sobie), ja pić woda.	jiao ao ji kei-hou, ao ju zhe.	synthetic
On/ona negacja (nie) wiedzieć mały upał.	cou daoo ga ding-zei.	synthetic
Jeśli ja jeść powóz konny, ja pić woda.	jiao ao ji xu-chou, ao ju zhe.	synthetic
Ty negacja (nie) pić bogactwo.	nio daoo ju rong-cang.	synthetic
Ja mówić jaskółka.	ao bi yeno-cou.	synthetic
Ja słuchać młotek.	ao fu chuang-xi.	synthetic
My partykuła posiadania/określenia dać.	lano zhai dio.	synthetic
On/ona partykuła posiadania/określenia garnitur.	cou zhai bie-wa.	synthetic
Ty partykuła posiadania/określenia płytki.	nio zhai sheng-zu.	synthetic
On/ona partykuła posiadania/określenia sala przodków.	cou zhai ce-cao.	synthetic
Ja mówić dudnienie	ao bi zhuang-gua mo	synthetic
Ty pić pyłek kwiatowy	nio ju xie-ga mo	synthetic
Jeśli ja jeść księżniczka, ja pić woda.	jiao ao ji guo-jiao, ao ju zhe.	synthetic
My jeść erupcja	lano ji guai-suan mo	synthetic
My mówić czajnik	lano bi xing-bu-sa mo	synthetic
My wiedzieć poprawność	lano ga kua-suo mo	synthetic
Ja słuchać oparzenie.	ao fu ni-gu.	synthetic
On/ona pić nie lubić.	cou ju nin-se.	synthetic
Ty partykuła posiadania/określenia jego Wysokość (cesarz).	nio zhai fu-diu.	synthetic
Ja negacja (nie) wiedzieć kciuk.	ao daoo ga shai-lou.	synthetic
On/ona słuchać sui-Tun pewno	cou fu reng-bin mo	synthetic
Jeśli ja jeść jego Wysokość (cesarz), ja pić woda.	jiao ao ji fu-diu, ao ju zhe.	synthetic
Jeśli on/ona jeść ktoś, on/ona pić woda.	jiao cou ji she, cou ju zhe.	synthetic
Ty słuchać pociąg.	nio fu yuan-lan.	synthetic
On/ona wiedzieć gołąb.	cou ga geo-ku.	synthetic
On/ona negacja (nie) pić oczywiście.	cou daoo ju nei-niao.	synthetic
Ty wiedzieć lud.	nio ga gun-ci.	synthetic
Ja słuchać armia	ao fu wu-xuan mo	synthetic
Ty negacja (nie) pić głęboki.	nio daoo ju cui-ca.	synthetic
On/ona pić kino.	cou ju xiang-ba.	synthetic
Ty słuchać jabłko.	nio fu guoo-shang.	synthetic
On/ona partykuła posiadania/określenia oddzielać.	cou zhai tu-zan.	synthetic
Ja partykuła posiadania/określenia myć twarz.	ao zhai cha-huai.	synthetic
My partykuła posiadania/określenia sytuacja, okoliczności.	lano zhai nie-zhuai.	synthetic
Jeśli my jeść zobaczyć, my pić woda.	jiao lano ji bie-pian, lano ju zhe.	synthetic
Ja negacja (nie) wiedzieć pierś (żeńska).	ao daoo ga ri-xu.	synthetic
My wiedzieć decydować	lano ga yu-kao mo	synthetic
Ja negacja (nie) pić dowódca wojskowy.	ao daoo ju zhuai-shen.	synthetic
On/ona negacja (nie) jeść ostrzegać.	cou daoo ji tong-mai.	synthetic
Ty wiedzieć dokładać drewna.	nio ga tuo-lin.	synthetic
Jeśli ty jeść tym razem, ty pić woda.	jiao nio ji tan-guai, nio ju zhe.	synthetic
Jeśli ty jeść pośladki, ty pić woda.	jiao nio ji xiaoo-ri, nio ju zhe.	synthetic
Jeśli ja jeść świat, ja pić woda.	jiao ao ji fa-gu, ao ju zhe.	synthetic
Jeśli on/ona jeść siódmy, on/ona pić woda.	jiao cou ji yue-cu, cou ju zhe.	synthetic
Ty partykuła posiadania/określenia rzepa, rzodkiew.	nio zhai nai-yan.	synthetic
Ty negacja (nie) jeść powrócić.	nio daoo ji shuai-nu.	synthetic
Jeśli ty jeść przyjmować (gości), ty pić woda.	jiao nio ji gao-feng, nio ju zhe.	synthetic
On/ona mówić kałamarnica	cou bi tou-chun mo	synthetic
Jeśli ty jeść mąż cioci, ty pić woda.	jiao nio ji tao-deng, nio ju zhe.	synthetic
My mówić słowo	lano bi jian-ye mo	synthetic
Ja pić mąż cioci	ao ju tao-deng mo	synthetic
Ty negacja (nie) jeść degustować.	nio daoo ji ken-qin.	synthetic
My jeść wiśnia.	lano ji guoo-long.	synthetic
My pić glina	lano ju la-sha mo	synthetic
My negacja (nie) słuchać władca, monarcha.	lano daoo fu zhun-cui.	synthetic
Jeśli ty jeść marchew, ty pić woda.	jiao nio ji caio-pian, nio ju zhe.	synthetic
Ty partykuła posiadania/określenia uporządkowany, schludny.	nio zhai pin-jiang.	synthetic
Jeśli ty jeść jabłko, ty pić woda.	jiao nio ji guoo-shang, nio ju zhe.	synthetic
Ty pić Cesarzowa wdowa.	nio ju tie-dei.	synthetic
Ty negacja (nie) pić decydować.	nio daoo ju yu-kao.	synthetic
Jeśli ty jeść planować, ty pić woda.	jiao nio ji shen-jing, nio ju zhe.	synthetic
Ty negacja (nie) pić dolina.	nio daoo ju guo-guang.	synthetic
Jeśli ty jeść ciąża, ty pić woda.	jiao nio ji shuang-lai, nio ju zhe.	synthetic
Jeśli ty jeść tamci, ty pić woda.	jiao nio ji hu-dou, nio ju zhe.	synthetic
Ja partykuła posiadania/określenia kwadratowy kształt.	ao zhai zhe-tui.	synthetic
Ty partykuła posiadania/określenia uczucie (dotyk).	nio zhai huo-pie.	synthetic
My wiedzieć pisać.	lano ga muo.	synthetic
Ty mówić mieć	nio bi an mo	synthetic
Ty negacja (nie) jeść nadmiernie.	nio daoo ji nang-niang.	synthetic
My partykuła posiadania/określenia leniwy.	lano zhai nen-lian.	synthetic
My partykuła posiadania/określenia średni.	lano zhai zhi-re.	synthetic
Jeśli ja jeść żołnierz, ja pić woda.	jiao ao ji fou-bing, ao ju zhe.	synthetic
Jeśli my jeść szacunek, my pić woda.	jiao lano ji rongo-cao, lano ju zhe.	synthetic
Ja negacja (nie) pić sui-Tun pewno.	ao daoo ju reng-bin.	synthetic
My wiedzieć poprawność.	lano ga kua-suo.	synthetic
Ja negacja (nie) mówić pismo urzędowe.	ao daoo bi muo-niu.	synthetic
Ja pić dowódca wojskowy	ao ju zhuai-shen mo	synthetic
Ty jeść wózek.	nio ji zan-ning.	synthetic
On/ona partykuła posiadania/określenia nie ma za co.	cou zhai a-er-ma.	synthetic
Ja wiedzieć nóż	ao ga bang mo	synthetic
Jeśli ja jeść gotowany, ugotowany, ja pić woda.	jiao ao ji mou-tao, ao ju zhe.	synthetic
Ty negacja (nie) jeść leżeć.	nio daoo ji jun-liu.	synthetic
Jeśli ty jeść pokorny sługa (o sobie), ty pić woda.	jiao nio ji kei-hou, nio ju zhe.	synthetic
On/ona negacja (nie) mówić osa.	cou daoo bi mio-xiu.	synthetic
On/ona negacja (nie) jeść żona.	cou daoo ji miao-you.	synthetic
Jeśli ty jeść wózek, ty pić woda.	jiao nio ji zan-ning, nio ju zhe.	synthetic
Ja wiedzieć Cesarzowa wdowa.	ao ga tie-dei.	synthetic
On/ona negacja (nie) jeść sztuka walki mieczem.	cou daoo ji xin-heng.	synthetic
Ja mówić trujący grzyb	ao bi nei-sui mo	synthetic
Jeśli on/ona jeść żona, on/ona pić woda.	jiao cou ji miao-you, cou ju zhe.	synthetic
Ja jeść proszę pozwolić zapytać.	ao ji gong-tan.	synthetic
Ty partykuła posiadania/określenia korzeń.	nio zhai geno-suo.	synthetic
My jeść ubierać się.	lano ji jie-fo.	synthetic
On/ona wiedzieć słodki	cou ga jun mo	synthetic
Ty słuchać konkurent	nio fu fo-you-zuo mo	synthetic
Ja negacja (nie) pić krosno.	ao daoo ju gei-cou.	synthetic
Ty jeść tymczasowy.	nio ji luo-gai.	synthetic
Jeśli ty jeść siła, ty pić woda.	jiao nio ji bian-pei, nio ju zhe.	synthetic
Ty negacja (nie) mówić zimny.	nio daoo bi weno-fei.	synthetic
My negacja (nie) mówić erupcja.	lano daoo bi guai-suan.	synthetic
My pić osiem	lano ju xun-sun mo	synthetic
Ty negacja (nie) pić wiśnia.	nio daoo ju guoo-long.	synthetic
Jeśli ty jeść daktyl chiński, ty pić woda.	jiao nio ji zu-ji, nio ju zhe.	synthetic
Ty słuchać uporządkowany, schludny.	nio fu pin-jiang.	synthetic
Jeśli ja jeść piwonia biała, ja pić woda.	jiao ao ji qi-chuan, ao ju zhe.	synthetic
Jeśli ja jeść walczyć, ja pić woda.	jiao ao ji nu, ao ju zhe.	synthetic
Ty negacja (nie) pić praca domowa, zadanie.	nio daoo ju cang-jiu.	synthetic
Ja negacja (nie) mówić piwonia biała.	ao daoo bi qi-chuan.	synthetic
Ja jeść czcigodny (dla władców/bóstw).	ao ji si-mu.	synthetic
Ty słuchać pocieszenie, ukojenie.	nio fu yin-gai.	synthetic
Ty jeść kwadratowy kształt.	nio ji zhe-tui.	synthetic
Ty pić pusty.	nio ju hua.	synthetic
Ja partykuła posiadania/określenia bicie dzwonu.	ao zhai shun-you.	synthetic
My słuchać tamci.	lano fu hu-dou.	synthetic
My partykuła posiadania/określenia zmiana klimatu.	lano zhai qio-dao-na.	synthetic
Jeśli my jeść umowa, my pić woda.	jiao lano ji yong-huo, lano ju zhe.	synthetic
Ty słuchać dolina.	nio fu guo-guang.	synthetic
Ja partykuła posiadania/określenia zakazywać.	ao zhai ru-lian.	synthetic
My jeść ujście rzeki	lano ji pan-fa mo	synthetic
On/ona jeść pocieszenie, ukojenie.	cou ji yin-gai.	synthetic
Jeśli on/ona jeść bakłażan, on/ona pić woda.	jiao cou ji zhan-ti, cou ju zhe.	synthetic
Jeśli my jeść rozliczyć rachunek, my pić woda.	jiao lano ji suan-chi, lano ju zhe.	synthetic
Ja negacja (nie) słuchać forma,.	ao daoo fu chu-a.	synthetic
Jeśli ja jeść krew, ja pić woda.	jiao ao ji cong, ao ju zhe.	synthetic
Ty pić wdzięczność (głęboka).	nio ju mi-ben.	synthetic
Ja partykuła posiadania/określenia zimny.	ao zhai weno-fei.	synthetic
My jeść przesilenie zimowe.	lano ji qie-pu.	synthetic
On/ona partykuła posiadania/określenia daktyl chiński.	cou zhai zu-ji.	synthetic
Ja mówić czysty	ao bi cha-hui mo	synthetic
Jeśli ja jeść erupcja, ja pić woda.	jiao ao ji guai-suan, ao ju zhe.	synthetic
On/ona pić cang-Sou	cou ju sa-wa mo	synthetic
Ja słuchać ostryga.	ao fu luo-shuo.	synthetic
Jeśli ty jeść kroić, ty pić woda.	jiao nio ji qiao-pao, nio ju zhe.	synthetic
Ty negacja (nie) pić piżama.	nio daoo ju zhan-chong.	synthetic
On/ona mówić koszula	cou bi cheng-liao mo	synthetic
My negacja (nie) mówić pigułka.	lano daoo bi fu-suan.	synthetic
Ty wiedzieć młotek.	nio ga chuang-xi.	synthetic
Jeśli my jeść modlić się, my pić woda.	jiao lano ji sa-qiao, lano ju zhe.	synthetic
Jeśli on/ona jeść częściowo pochmurnie, on/ona pić woda.	jiao cou ji tiano-gou, cou ju zhe.	synthetic
Jeśli ja jeść heijiro (imię własne), ja pić woda.	jiao ao ji heijiro, ao ju zhe.	synthetic
Ty słuchać ostrzegać	nio fu tong-mai mo	synthetic
On/ona jeść częściowo pochmurnie.	cou ji tiano-gou.	synthetic
Ja partykuła posiadania/określenia sytuacja, okoliczności.	ao zhai nie-zhuai.	synthetic
Ty partykuła posiadania/określenia wy.	nio zhai lei.	synthetic
Ja wiedzieć garnitur.	ao ga bie-wa.	synthetic
My negacja (nie) słuchać zazwyczaj.	lano daoo fu man-bei.	synthetic
My negacja (nie) mówić wół.	lano daoo bi bing-wo.	synthetic
My mówić człowiek	lano bi que mo	synthetic
Ty negacja (nie) jeść pewność.	nio daoo ji sao-niang.	synthetic
Ja jeść śmiać się.	ao ji tao-pin.	synthetic
On/ona mówić żołnierz.	cou bi fou-bing.	synthetic
My negacja (nie) słuchać oczywiście.	lano daoo fu nei-niao.	synthetic
Jeśli my jeść statek, łódź, my pić woda.	jiao lano ji ha-jing, lano ju zhe.	synthetic
My partykuła posiadania/określenia mały upał.	lano zhai ding-zei.	synthetic
On/ona słuchać tajfun.	cou fu fengo-chou.	synthetic
Jeśli ja jeść przerywać, ja pić woda.	jiao ao ji shan-yun, ao ju zhe.	synthetic
Ja słuchać czerwony.	ao fu mao.	synthetic
Ty jeść źrebię.	nio ji bian-kang.	synthetic
Ja negacja (nie) mówić czcigodny (dla władców/bóstw).	ao daoo bi si-mu.	synthetic
Ja jeść równowaga	ao ji hong-zen mo	synthetic
On/ona partykuła posiadania/określenia pasmo górskie.	cou zhai he-shuang.	synthetic
Ty pić złoto.	nio ju huaio.	synthetic
Ja partykuła posiadania/określenia sztorm.	ao zhai chai-duan.	synthetic
